Title,Description,Image URL,Address,Country,Number of Bedrooms,Number of Bathrooms,Floor Size (m2),Price (USD),Property URL
"Home For Sale, Izmir Turkey","Home at Izmir Turkey With 16 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-135005781__0__720.jpg,Izmir,Turkey,16.0,0.0,610.0,4744730,https://www.century21global.com/en/p/i̇zmir-turkey--rl-135005781
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 7 bedrooms, 5 bathrooms, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134710840__0__720.jpg,Mugla,Turkey,7.0,5.0,430.0,4658463,https://www.century21global.com/en/p/muğla-turkey--rl-134710840
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 6 bedrooms, 6 bathrooms, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134223616__0__720.jpg,Mugla,Turkey,6.0,6.0,350.0,4644085,https://www.century21global.com/en/p/muğla-turkey--rl-134223616
"Home For Sale, İstanbul-Anadolu Turkey","Home at İstanbul-Anadolu Turkey With 10 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-134938645__0__720.jpg,İstanbul-Anadolu,Turkey,10.0,0.0,1280.0,4600951,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-134938645
"Home For Sale, İstanbul-Avrupa Turkey",Home at İstanbul-Avrupa Turkey.,https://assets.xomio.com/listings/images/rl-133514863__0__720.jpg,İstanbul-Avrupa,Turkey,,,,4586573,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-133514863
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 3 bedrooms, 3 bathrooms, Sea View, Pool View, City View, Park or Green Belt View, parking lot.",https://assets.xomio.com/listings/images/rl-133962294__0__720.jpg,İstanbul-Avrupa,Turkey,3.0,3.0,277.0,4529061,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-133962294
"Home For Sale, Çanakkale Turkey",Home at Çanakkale Turkey.,https://assets.xomio.com/listings/images/rl-134659567__0__720.jpg,Çanakkale,Turkey,,,4820.0,4485927,https://www.century21global.com/en/p/çanakkale-turkey--rl-134659567
"Home For Sale, Sakarya Turkey","Home at Sakarya Turkey With parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-133845958__0__720.jpg,Sakarya,Turkey,,,5740.0,4457171,https://www.century21global.com/en/p/sakarya-turkey--rl-133845958
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 5 bedrooms, 3 bathrooms, parking lot.",https://assets.xomio.com/listings/images/rl-134599563__0__720.jpg,İstanbul-Avrupa,Turkey,5.0,3.0,365.0,4457171,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134599563
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 5 bedrooms, 6 bathrooms, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134223591__0__720.jpg,Mugla,Turkey,5.0,6.0,350.0,4366590,https://www.century21global.com/en/p/muğla-turkey--rl-134223591
"Home For Sale, İstanbul-Anadolu Turkey",Home at İstanbul-Anadolu Turkey.,https://assets.xomio.com/listings/images/rl-134814446__0__720.jpg,İstanbul-Anadolu,Turkey,,,351.0,4313391,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-134814446
"Home For Sale, Bursa 16110 Turkey",Home at Bursa 16110 Turkey.,https://assets.xomio.com/listings/images/rl-134912755__0__720.jpg,Bursa,Turkey,,,,4313391,https://www.century21global.com/en/p/bursa-16110-turkey--rl-134912755
"Home For Sale, İstanbul-Anadolu Turkey",Home at İstanbul-Anadolu Turkey With parking lot.,https://assets.xomio.com/listings/images/rl-134876839__0__720.jpg,İstanbul-Anadolu,Turkey,,,300.0,4313391,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-134876839
"Home For Sale, Izmir Turkey",Home at Izmir Turkey.,https://assets.xomio.com/listings/images/rl-134652074__0__720.jpg,Izmir,Turkey,,,1404.0,4313391,https://www.century21global.com/en/p/i̇zmir-turkey--rl-134652074
"Home For Sale, Mugla Turkey",Home at Mugla Turkey.,https://assets.xomio.com/listings/images/rl-134669973__0__720.jpg,Mugla,Turkey,,,450.0,4284635,https://www.century21global.com/en/p/muğla-turkey--rl-134669973
"Home For Sale, Kocaeli Turkey","Home at Kocaeli Turkey With 10 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-133541474__0__720.jpg,Kocaeli,Turkey,10.0,0.0,2800.0,4241501,https://www.century21global.com/en/p/kocaeli-turkey--rl-133541474
"Home For Sale, Kocaeli Turkey","Home at Kocaeli Turkey With 7 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-133541483__0__720.jpg,Kocaeli,Turkey,7.0,0.0,2800.0,4241501,https://www.century21global.com/en/p/kocaeli-turkey--rl-133541483
"Home For Sale, İstanbul-Avrupa Turkey","Home at İstanbul-Avrupa Turkey With 4 bedrooms, 5 bathrooms, Sea View, Park View, Pool View, City View, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134237738__0__720.jpg,İstanbul-Avrupa,Turkey,4.0,5.0,270.0,4169612,https://www.century21global.com/en/p/i̇stanbul-avrupa-turkey--rl-134237738
,,,,,,,,,
"Home For Sale, Mugla Turkey","Home at Mugla Turkey With 5 bedrooms, 6 bathrooms, Sea View, parking lot, Number of parking spaces.",https://assets.xomio.com/listings/images/rl-134223608__0__720.jpg,Mugla,Turkey,5.0,6.0,350.0,4093408,https://www.century21global.com/en/p/muğla-turkey--rl-134223608
"Home For Sale, İstanbul-Anadolu Turkey","Home at İstanbul-Anadolu Turkey With 16 bedrooms, 0 bathrooms.",https://assets.xomio.com/listings/images/rl-132453108__0__720.jpg,İstanbul-Anadolu,Turkey,16.0,0.0,2000.0,4025832,https://www.century21global.com/en/p/i̇stanbul-anadolu-turkey--rl-132453108
